time_s,temperature_C,pwm,direction
0.0,21.9,82,HEAT
0.52,21.9,82,HEAT
1.04,21.9,82,HEAT
1.57,21.9,82,HEAT
2.09,21.9,82,HEAT
2.61,21.9,82,HEAT
3.14,21.9,82,HEAT
3.66,21.9,82,HEAT
4.18,21.9,82,HEAT
4.7,21.9,82,HEAT
5.23,21.99,82,HEAT
5.75,21.9,82,HEAT
6.27,21.9,82,HEAT
6.79,21.9,82,HEAT
7.32,21.9,82,HEAT
7.84,21.99,82,HEAT
8.36,21.9,82,HEAT
8.88,21.9,82,HEAT
9.4,21.82,82,HEAT
9.93,21.9,82,HEAT
10.45,21.9,82,HEAT
10.97,21.9,82,HEAT
11.5,21.9,82,HEAT
12.02,21.9,82,HEAT
12.54,21.9,82,HEAT
13.07,21.9,82,HEAT
13.59,21.9,82,HEAT
14.11,21.9,82,HEAT
14.64,21.9,82,HEAT
15.16,21.9,82,HEAT
15.68,21.9,82,HEAT
16.21,21.9,82,HEAT
16.73,21.9,82,HEAT
17.25,21.9,82,HEAT
17.78,21.9,82,HEAT
18.3,21.9,82,HEAT
18.83,21.9,82,HEAT
19.35,21.9,82,HEAT
19.87,21.9,82,HEAT
20.4,21.9,82,HEAT
20.92,21.9,82,HEAT
21.44,21.9,82,HEAT
21.97,21.9,82,HEAT
22.49,21.9,82,HEAT
23.01,21.9,82,HEAT
23.54,21.9,82,HEAT
24.06,21.9,82,HEAT
24.58,21.9,82,HEAT
25.11,21.99,82,HEAT
25.63,21.99,82,HEAT
26.15,21.99,82,HEAT
26.68,21.9,82,HEAT
27.2,21.9,82,HEAT
27.72,21.9,82,HEAT
28.25,21.9,82,HEAT
28.77,21.82,82,HEAT
29.3,21.82,82,HEAT
29.82,21.9,82,HEAT
30.35,21.82,82,HEAT
30.87,21.82,82,HEAT
31.39,21.82,82,HEAT
31.92,21.9,82,HEAT
32.44,21.82,82,HEAT
32.97,21.82,82,HEAT
33.49,21.9,82,HEAT
34.02,21.82,82,HEAT
34.54,21.82,82,HEAT
35.07,21.82,82,HEAT
35.59,21.82,82,HEAT
36.12,21.9,82,HEAT
36.64,21.82,82,HEAT
37.17,21.82,82,HEAT
37.69,21.9,82,HEAT
38.21,21.82,82,HEAT
38.74,21.82,82,HEAT
39.26,21.82,82,HEAT
39.79,21.9,82,HEAT
40.31,21.82,82,HEAT
40.84,21.82,82,HEAT
41.36,21.82,82,HEAT
41.88,21.82,82,HEAT
42.41,21.82,82,HEAT
42.93,21.9,82,HEAT
43.46,21.9,82,HEAT
43.98,21.82,82,HEAT
44.51,21.82,82,HEAT
45.03,21.82,82,HEAT
45.56,21.9,82,HEAT
46.08,21.9,82,HEAT
46.61,21.82,82,HEAT
47.13,21.82,82,HEAT
47.65,21.82,82,HEAT
48.18,21.9,82,HEAT
48.7,21.82,82,HEAT
49.23,21.9,82,HEAT
49.75,21.82,82,HEAT
50.28,21.82,82,HEAT
50.8,21.9,82,HEAT
51.33,21.82,82,HEAT
51.85,21.82,82,HEAT
52.38,21.82,82,HEAT
52.9,21.82,82,HEAT
53.43,21.9,82,HEAT
53.95,21.82,82,HEAT
54.47,21.82,82,HEAT
55.0,21.82,82,HEAT
55.52,21.82,82,HEAT
56.05,21.82,82,HEAT
56.57,21.82,82,HEAT
57.1,21.82,82,HEAT
57.62,21.82,82,HEAT
58.15,21.82,82,HEAT
58.67,21.82,82,HEAT
59.2,21.82,82,HEAT
59.72,21.82,82,HEAT
60.24,21.9,82,HEAT
60.77,21.82,82,HEAT
61.29,21.9,82,HEAT
61.82,21.82,82,HEAT
62.34,21.82,82,HEAT
62.87,21.9,82,HEAT
63.39,21.82,82,HEAT
63.92,21.82,82,HEAT
64.44,21.82,82,HEAT
64.96,21.82,82,HEAT
65.49,21.82,82,HEAT
66.01,21.9,82,HEAT
66.54,21.82,82,HEAT
67.06,21.82,82,HEAT
67.59,21.82,82,HEAT
68.11,21.82,82,HEAT
68.64,21.9,82,HEAT
69.16,21.82,82,HEAT
69.69,21.82,82,HEAT
70.21,21.82,82,HEAT
